A,34.04,41.16,74.88,57.92,84.8,51.11,96.26,101.32,27.85,1,0,1,0,0,0,0,0.79747,0.10326,-0.5661,0.17933
B,-4.05,-5.99,-0.13,-4,-10.09,-6.92,-7.7,52.77,48.89,0,0,1,0,0,0,0,0.82567,-0.08801,-0.55688,-0.01565
C,24.6,4.56,57.17,2.92,57.98,-3.51,22.38,24.27,20.77,0,0,1,0,0,0,0,0.72808,0.31435,-0.37756,0.47739
A,48.29,52.75,70.7,67.95,76.33,55.43,86.01,94.08,33.41,1,0,1,0,0,0,0,0.82003,0.139,-0.48218,0.2268
B,-3.87,-4.81,-0.11,-3.52,-7.35,-5.88,-4.3,10.91,48.14,0,0,1,0,0,0,0,0.8639,-0.07093,-0.49395,0.01251
C,25.48,3.88,50.31,5.44,55.59,-3.65,17.67,26.71,26.46,0,0,1,0,0,0,0,0.80637,0.27445,-0.34248,0.37447
A,53.89,43.39,80.05,41.71,80.13,12.61,80.19,65.4,14.78,1,0,1,0,0,0,0,0.71066,0.22489,-0.5927,0.23033
B,-3.58,-1.21,0.03,-2.44,-9.55,-5.72,-5.03,34.81,55.12,0,0,1,0,0,0,0,0.83116,-0.03696,-0.55011,0.03791
C,19.42,-4.05,50.85,-0.7,47.49,-6.65,12.87,31.56,38.08,0,0,1,0,0,0,0,0.80988,0.25882,-0.34369,0.39869
A,61.73,55.35,82.67,63.41,83.95,60,81.39,39.31,12.32,1,0,1,0,0,0,0,0.84572,0.06863,-0.50275,0.11094
B,-7.11,2.65,0.37,-1.97,-9.75,-2.46,-7.81,30.75,105.2,0,0,1,0,0,0,0,0.87587,-0.05781,-0.47303,0.02322
C,7.73,5.3,39.68,0.04,43.88,-5.24,11.2,9.09,32.67,0,0,1,0,0,0,0,0.80605,0.22113,-0.40121,0.31938
A,53.9,57.4,78.29,70.59,80.05,69.75,92.26,85.47,24.16,1,0,1,0,0,0,0,0.86049,0.053,-0.47885,0.10933
B,2.24,10.32,12.95,7.28,4.46,5.52,7.71,36.51,71.25,0,0,1,0,0,0,0,0.86032,-0.07464,-0.49917,-0.02169
C,11.92,-0.79,43.32,-1.08,49.17,-4.95,17.33,-2.97,32.36,0,0,1,0,0,0,0,0.81149,0.22269,-0.39489,0.30629
D,63.17,7.5,47.83,13.5,51.17,1,22.67,42.5,1,0,0,0,0,0,0,0,0.47797,-0.08459,-0.3466,-0.60876
F,43.14,21.43,47.71,12.57,46.57,5.29,35.71,26.14,56.14,0,0,0,0,0,0,0,0.72349,0.00969,-0.21211,-0.39341
G,43.14,21.43,47.71,12.57,46.57,5.29,35.71,26.14,56.14,0,0,0,0,0,0,0,0.72349,0.00969,-0.21211,-0.39341
H,46.38,21.13,50.38,12.25,48.88,5.13,38,26.63,61.38,0,0,1,0,0,0,0,0.73536,0.00363,-0.21846,-0.4079
I,51.18,19.91,55.18,11.45,53.09,5.09,42.36,30.18,69.36,0,0,1,0,0,0,0,0.75901,-0.00427,-0.23212,-0.43341
K,48.93,18.33,54.13,11.4,55.2,7.67,41.6,32.13,69.73,0,0,1,0,0,0,0,0.77651,-0.01585,-0.24495,-0.44725
L,45.88,18.25,51.19,11.88,54.94,10.19,39.88,31,65.94,0,0,1,0,0,0,0,0.77982,-0.02375,-0.24866,-0.44718
M,43.18,18.18,48.59,12.47,54.71,12.29,38.35,30.06,62.88,0,0,0,0,0,0,0,0.78275,-0.03068,-0.25195,-0.44711
N,38.63,18.21,44.21,13.32,54.32,16,35.05,28.47,57.47,0,0,0,0,0,0,0,0.7877,-0.04235,-0.25745,-0.44699
O,34.95,18.33,40.76,14.1,54,18.81,32.43,27.1,52.95,0,0,0,0,0,0,0,0.79171,-0.05174,-0.26193,-0.44689
P,-8,16.75,6.75,4.75,9.75,1,11,5,16,0,0,0,0,0,0,0,0.42285,-0.12158,-0.3219,-0.5088
Q,-8.8,16,7.2,5.2,10.4,0.8,12.8,5,14.8,0,0,0,0,0,0,0,0.44854,-0.10408,-0.33382,-0.55528
D,-9.43,16.29,7.71,5.29,10.86,0.57,15,4,12.43,0,0,0,0,0,0,0,0.47797,-0.08459,-0.3466,-0.60876
E,-9.63,16.63,7.88,5.38,11,0.38,15.38,3.75,12,0,0,0,0,0,0,0,0.48719,-0.07873,-0.35013,-0.62569
F,-9.78,17.56,8,5.56,11.11,0.33,15.67,3.33,11.78,0,0,0,0,0,0,0,0.49437,-0.07433,-0.35253,-0.63899
G,-9.8,18.5,8.1,5.7,11.2,0.1,15.6,3,11.4,0,0,0,0,0,0,0,0.50012,-0.07099,-0.35405,-0.64983
