A,34.04,41.16,74.88,57.92,84.80,51.11,96.26,101.32,27.85,1,0,1,0,0,0,0
B,-4.05,-5.99,-0.13,-4.00,-10.09,-6.92,-7.70,52.77,48.89,0,0,1,0,0,0,0
C,24.60,4.56,57.17,2.92,57.98,-3.51,22.38,24.27,20.77,0,0,1,0,0,0,0
A,48.29,52.75,70.70,67.95,76.33,55.43,86.01,94.08,33.41,1,0,1,0,0,0,0
B,-3.87,-4.81,-0.11,-3.52,-7.35,-5.88,-4.30,10.91,48.14,0,0,1,0,0,0,0
C,25.48,3.88,50.31,5.44,55.59,-3.65,17.67,26.71,26.46,0,0,1,0,0,0,0
A,53.89,43.39,80.05,41.71,80.13,12.61,80.19,65.40,14.78,1,0,1,0,0,0,0
B,-3.58,-1.21,0.03,-2.44,-9.55,-5.72,-5.03,34.81,55.12,0,0,1,0,0,0,0
C,19.42,-4.05,50.85,-0.70,47.49,-6.65,12.87,31.56,38.08,0,0,1,0,0,0,0
A,61.73,55.35,82.67,63.41,83.95,60.00,81.39,39.31,12.32,1,0,1,0,0,0,0
B,-7.11,2.65,0.37,-1.97,-9.75,-2.46,-7.81,30.75,105.20,0,0,1,0,0,0,0
C,7.73,5.30,39.68,0.04,43.88,-5.24,11.20,9.09,32.67,0,0,1,0,0,0,0
A,53.90,57.40,78.29,70.59,80.05,69.75,92.26,85.47,24.16,1,0,1,0,0,0,0
B,2.24,10.32,12.95,7.28,4.46,5.52,7.71,36.51,71.25,0,0,1,0,0,0,0
C,11.92,-0.79,43.32,-1.08,49.17,-4.95,17.33,-2.97,32.36,0,0,1,0,0,0,0
D,63.17,7.50,47.83,13.50,51.17,1.00,22.67,42.50,1.00,0,0,0,0,0,0,0
E,38.33,22.00,44.00,12.83,43.67,5.33,32.83,24.50,48.50,0,0,0,0,0,0,0
F,43.14,21.43,47.71,12.57,46.57,5.29,35.71,26.14,56.14,0,0,0,0,0,0,0
G,43.14,21.43,47.71,12.57,46.57,5.29,35.71,26.14,56.14,0,0,0,0,0,0,0
H,46.38,21.13,50.38,12.25,48.88,5.13,38.00,26.63,61.38,0,0,1,0,0,0,0
I,51.18,19.91,55.18,11.45,53.09,5.09,42.36,30.18,69.36,0,0,1,0,0,0,0
K,48.93,18.33,54.13,11.40,55.20,7.67,41.60,32.13,69.73,0,0,1,0,0,0,0
L,45.88,18.25,51.19,11.88,54.94,10.19,39.88,31.00,65.94,0,0,1,0,0,0,0
M,43.18,18.18,48.59,12.47,54.71,12.29,38.35,30.06,62.88,0,0,0,0,0,0,0
N,38.63,18.21,44.21,13.32,54.32,16.00,35.05,28.47,57.47,0,0,0,0,0,0,0
O,34.95,18.33,40.76,14.10,54.00,18.81,32.43,27.10,52.95,0,0,0,0,0,0,0
P,-8.00,16.75,6.75,4.75,9.75,1.00,11.00,5.00,16.00,0,0,0,0,0,0,0
Q,-8.80,16.00,7.20,5.20,10.40,0.80,12.80,5.00,14.80,0,0,0,0,0,0,0
D,-9.43,16.29,7.71,5.29,10.86,0.57,15.00,4.00,12.43,0,0,0,0,0,0,0
E,-9.63,16.63,7.88,5.38,11.00,0.38,15.38,3.75,12.00,0,0,0,0,0,0,0
F,-9.78,17.56,8.00,5.56,11.11,0.33,15.67,3.33,11.78,0,0,0,0,0,0,0
G,-9.80,18.50,8.10,5.70,11.20,0.10,15.60,3.00,11.40,0,0,0,0,0,0,0
H,-9.73,19.73,8.18,5.91,11.27,-0.09,15.55,2.18,10.91,0,0,0,0,0,0,0
I,-9.73,19.73,8.18,5.91,11.27,-0.09,15.55,2.18,10.91,0,0,0,0,0,0,0
K,-9.58,21.33,8.17,6.08,11.25,-0.25,15.67,1.25,10.17,0,0,0,0,0,0,0
L,-9.08,22.69,8.23,6.38,11.31,-0.23,15.69,0.69,10.00,0,0,0,0,0,0,0
M,-9.08,22.69,8.23,6.38,11.31,-0.23,15.69,0.69,10.00,0,0,0,0,0,0,0
N,-8.79,21.93,7.71,7.79,15.14,5.21,19.86,-0.71,9.43,0,0,0,0,0,0,0
O,-8.67,21.33,7.33,9.07,18.47,9.87,23.47,-1.93,9.13,0,0,0,0,0,0,0
P,-8.44,20.75,6.94,10.19,21.44,14.19,26.50,-3.00,9.19,0,0,0,0,0,0,0
Q,-8.35,20.29,6.59,11.12,24.00,17.94,29.47,-4.06,9.12,0,0,0,0,0,0,0
D,-8.00,19.47,6.00,12.84,28.32,24.11,33.58,-5.58,9.00,0,0,0,0,0,0,0
E,-8.00,19.15,5.75,13.45,30.25,26.70,35.45,-6.35,8.65,0,0,0,0,0,0,0
F,-7.82,18.55,5.27,14.91,33.41,31.09,38.50,-7.73,8.82,0,0,0,0,0,0,0
G,-7.82,18.55,5.27,14.91,33.41,31.09,38.50,-7.73,8.82,0,0,0,0,0,0,0
H,-7.70,18.35,5.09,15.57,34.78,33.00,39.78,-8.22,8.78,0,0,0,0,0,0,0
I,63.00,55.33,56.00,53.67,54.67,45.00,-1.67,48.67,-3.67,0,0,0,0,0,0,0
K,63.00,55.33,56.00,53.67,54.67,45.00,-1.67,48.67,-3.67,0,0,0,0,0,0,0
