A,65.7,44.87,75.58,49.6,79.58,46.37,85.4,9.55,55.13,0,0,1,0,0,0,0,0.812761,0.0020740000000000008,-0.5620880000000001,0.15313499999999997
B,-1.87,-3.52,0.08,-2.87,-10.02,-5.67,-0.83,31.68,67.07,0,0,0,0,0,0,0,0.8042450000000002,-0.08777000000000007,-0.5837779999999999,0.06720800000000002
C,14.59,-6.83,24.27,-2.92,35.83,-6.2,11.54,-22.95,26.83,0,0,0,0,0,0,0,0.7955350000000001,0.06403500000000001,-0.4923620000000002,0.3009830000000001
A,66.0,62.09,65.83,67.87,86.18,62.37,89.44,-37.96,-9.81,0,0,1,0,0,0,0,0.8681110000000004,-0.020406999999999995,-0.4708620000000001,0.15546000000000001
B,9.22,15.61,13.73,11.45,10.16,11.33,14.86,28.41,38.04,0,0,0,0,0,0,0,0.8204220000000001,-0.09061699999999999,-0.5542620000000001,0.092742
C,24.75,-6.12,24.61,-2.09,47.27,-5.09,13.72,-33.63,18.68,0,0,0,0,0,0,0,0.7629100000000009,0.20454099999999995,-0.4176829999999999,0.42518299999999976
A,74.26,58.41,52.75,66.14,85.83,63.04,92.75,-38.04,-7.6,0,0,0,0,0,0,0,0.8622839999999998,-0.018253999999999996,-0.500786,0.07193099999999997
B,0.57,7.85,4.86,1.82,-4.34,0.05,2.55,26.55,77.48,0,0,0,0,0,0,0,0.7776110000000006,-0.118241,-0.6145329999999998,0.042898
C,30.29,-2.28,16.9,-0.68,40.6,-4.38,7.16,-34.58,10.9,0,0,0,0,0,0,0,0.7543000000000001,0.20552700000000004,-0.42396399999999973,0.4560289999999999
A,73.3,55.12,52.11,62.28,79.51,59.63,66.76,-19.07,-5.19,0,0,0,0,0,0,0,0.7986070000000002,-0.036174999999999985,-0.595176,0.079551
B,32.43,23.4,22.43,23.87,26.27,22.7,25.76,24.12,42.44,0,0,0,0,0,0,0,0.8069469999999999,-0.072122,-0.581422,0.06518100000000002
C,19.88,4.15,18.87,2.26,30.89,-3.38,10.27,19.96,37.19,0,0,0,0,0,0,0,0.7763959999999996,0.11097699999999996,-0.4580499999999998,0.285207
A,62.28,46.17,49.86,59.88,81.84,55.58,83.52,-33.41,-5.01,0,0,0,0,0,0,0,0.8341519999999992,-0.015687999999999994,-0.5425679999999996,0.097058
B,-1.07,8.94,0.21,-2.09,-9.95,-4.84,-6.75,52.61,64.71,0,0,0,0,0,0,0,0.7957700000000001,-0.10453500000000003,-0.5918410000000002,0.07408800000000001
C,24.83,-1.05,25.06,-1.2,49.72,-4.31,16.81,11.24,32.63,0,0,0,0,0,0,0,0.7755719999999998,0.17309000000000005,-0.40498599999999985,0.38001999999999997
